array_n,list,Platform,status
67,"['Wilsons Leather','Zappos.com','Zara','Adobe','ADT','AT & T']",,
68,"['August','Boost Mobile','Citrix','Consumer Cellular','Cricket Wireless','EarthLink']",,
69,"['Google Fi','Google Nest','McAfee','Metro by T-Mobile (Metro PCS)','Microsoft','Mozilla']",,
70,"['Norton','Quicken','Ring (Video Doorbell)','SimpliSafe','SiriusXM','Skype']",,
71,"['Sprint','Straight Talk Wireless','Symantec','T-Mobile','Tracfone','US Cellular']",,
72,"['Verizon Wireless','Windows','Xfinity Mobile','Acer','Amazon Alexa','Android']",,
73,"['Apple','Apple Siri','Apple Watch','Belkin','BlackBerry','Brother']",,
74,"['Canon','Casio','Compaq','Dell','Eero','Fitbit']",,
75,"['Fuji','Galaxy','Gateway','Google Assistant','Google Pixel','HP']",,
76,"['HTC','Huawei','IBM','Intel','iPad','iPhone']",,
77,"['iPod','Kindle','Kodak','LeEco','Lenovo','Lexmark']",,
78,"['LG','Lifeproof','Mac','Motorola','Nikon','Nintendo']",,
79,"['Nokia','Nook','Olympus','Otterbox','Panasonic','Samsung']",,
80,"['Sanyo','Sony','Toshiba','Ally','Bank of America','Bank of New York']",,
81,"['Bank of the West','Barclays','BB & T','BMO Harris Bank','Capital One Bank','Chase']",,
82,"['Citibank','Citizens Bank','Comerica','Fifth-Third','First Republic','Frontier Bank']",,
83,"['HSBC','Huntington Bank','KeyBank','M & T Bank','Navy Federal Credit Union','PNC Bank']",,
84,"['Rabobank','Regions Bank','Santander','SunTrust','Synchrony Bank','TCF Bank']",,
85,"['TD Bank','Truist','Umpqua Bank','Union Bank','US Bank','USAA']",,
86,"['Wells Fargo','Zions Bank','Annie's','BabyRuth','Ben & Jerry's','Benecol']",,
87,"['Betty Crocker','Beyond Meat','Bisquick','Breyers','Bumble Bee Foods','ButcherBox']",,
88,"['Cabot','Campbell's','Cheerios','Chex','Chicken of the Sea','Chobani']",,
89,"['Chobani Gimmies','Cinnamon Toast Crunch','Coffee-Mate','Danimals','Dannon','DiGiorno']",,
90,"['Dole Packaged Foods','Dove (chocolate)','Dreyer's','Earth's Best','Fage','Fairlife']",,
91,"['Fiber One','Frito-Lay','Frosted Flakes','Fruit Gushers','General Mills','Ghirardelli']",,
92,"['Giovanni Rana','Go-Gurt','Hamburger Helper','Happy Baby','Hershey's','Honey Bunches of Oats']",,
93,"['Honey Nut Cheerios','Horizon Organic Milk','HÃ¤agen-Dazs','Icelandic Provisions','Impossible Foods','Johnsonville Sausage']",,
94,"['Kashi','Kinder Bueno','Kinder Joy','King's Hawaiian','KozyShack','Kraft']",,
95,"['Kraft Mac & Cheese','Land-O-Lakes (butter)','Land-O-Lakes (cheese)','Liberte','Lindt','Lucky Charms']",,
96,"['M&M's','Maruchan Instant Lunch','Maruchan Ramen Noodle Soup','McCormick','Mountain High','Mrs. Dash']",,
97,"['Muir Glen','Nabisco','Nesquik','Nestle Toll House','Nissin Cup Noodles','Nissin Top Ramen']",,
98,"['Noosa','Old El Paso','Omaha steaks','Ore-Ida','Oreo','Organic Valley']",,
99,"['Ortega','Oscar Mayer','Oui','Pacific','PayDay','Peanut Chews']",,
100,"['Pillsbury','Planters','Plum','Prego','Progresso','Quaker']",,
101,"['Red Baron','Reese's','Reese's Puffs','Sargento','Siggi's','Snickers']",,
102,"['Special K','Splenda','StarKist','Stonyfield','Swanson','Take 5']",,
103,"['Tillamook','Toaster Strudel','Totino's Pizza Rolls','Trolli','White Castle Frozen Sliders','Yoplait']",,
104,"['ACT','AXE','Beggin' Strips','Blue Buffalo','Burt's Bees','Charmin']",,
105,"['Clorox','Colgate','Crest','Dawn','Dial','Dollar Shave Club']",,
106,"['Dove','Ecover','Gillette','Hefty','Hello Products','Hill's Pet Nutrition']",,
107,"['Invisalign','J.R. Watkins','Kibbles 'n Bits','Listerine','Lysol','Meow Mix']",,
108,"['Method','Milk-Bone','Mrs. Meyer's','Nature's Recipe','Old Spice','Pedigree']",,
109,"['Pounce','Purina','Purina Cat Chow','Reynolds','Right Guard','Royal Canin']",,
110,"['Schick','Scope','Secret','Seventh Generation','Shout','Smile Direct Club']",,
111,"['Temptations','Tide','Tidy Cats','99 Cents Only','Big Lots','BJ's Wholesale']",,
112,"['Bloomingdale's','Burlington','Cost Plus World Market','Costco','CVS','Dillard's']",,
113,"['Dollar General','Dollar Tree','Family Dollar','Hautelook','J.C. Penney','Kmart']",,
114,"['Kohl's','Lord & Taylor','Macy's','Marshall's','Neiman Marcus','Neiman Marcus Last Call']",,
115,"['Nordstrom','Nordstrom Rack','Party City','Rite Aid','Ross','Saks']",,
116,"['Saks Off 5th','Sam's Club','Sears','Stein Mart','Target','TJ Maxx']",,
117,"['Walgreens','Walmart','Applebee's','Bahama Breeze','Benihana','BJ's']",,
