array_n,list,platform,status
167,"['Smooth Intense', 'Sport Clips', 'Supercuts', 'Together Beauty', 'Total Repair 5', 'TPH By Taraji', 'TRESemme', 'Triple Resist']",,
168,"['Vive', 'AAA', 'AARP Auto/Home Insurance from the Hartford', 'AARP Medicare Plans from UnitedHealthcare', 'Aetna', 'Aflac', 'AIG', 'Allstate']",,
169,"['American Family Insurance', 'Amica', 'Anthem Blue Cross', 'Athene', 'AXA', 'Blue Cross/Blue Shield', 'Blue Shield of California', 'Chubb']",,
170,"['CIGNA', 'CNA', 'Esurance', 'Farmers Insurance Group', 'Figo', 'Geico', 'Guardian', 'Healthy Paws']",,
171,"['Humana', 'John Hancock', 'Kaiser Permanente', 'Liberty Mutual', 'Mass Mutual', 'Mercury', 'MetLife', 'Nationwide']",,
172,"['Navy Federal Credit Union', 'New York Life', 'Northwestern Mutual', 'Pacific Life', 'PetPlan', 'Progressive', 'Prudential', 'Safeco']",,
173,"['State Farm', 'The General Insurance', 'The Hartford', 'Transamerica', 'Travelers', 'Trupanion', 'UnitedHealthcare', 'USAA']",,
174,"['WellPoint', 'A & E', 'ABC', 'Adult Swim', 'AMC', 'Animal Planet', 'BET', 'Bloomberg Television']",,
175,"['Bravo', 'C-SPAN', 'Cartoon Network', 'CBS', 'Cinemax', 'CMT', 'CNBC', 'CNN']",,
176,"['Comedy Central', 'CW', 'Discovery Channel', 'Disney Channel', 'E!', 'ESPN', 'ESPN Deportes', 'ESPN2']",,
177,"['ESPNU', 'Food Network', 'FOX', 'Fox Business Network', 'Fox News Channel', 'Freeform', 'FS1', 'FX']",,
178,"['HBO', 'HGTV', 'History Channel', 'HLN', 'Lifetime', 'Logo TV', 'MLB Network', 'MotorTrend TV']",,
179,"['MSNBC', 'MTV', 'MTV2', 'National Geographic', 'NBC', 'NBC Sports Network', 'NFL Network', 'Nick at Nite']",,
180,"['Nick Jr.', 'Nickelodeon', 'OWN', 'Oxygen', 'Paramount Network', 'PBS', 'SEC Network', 'Showtime']",,
181,"['SyFy', 'TBS', 'Teen Nick', 'Telemundo', 'The Golf Channel', 'The Weather Channel', 'TLC', 'TNT']",,
182,"['truTV', 'TV Land', 'Univision', 'USA Network', 'VH1', '23andMe', 'Amazon Prime', 'Amazon.com']",,
183,"['AncestryDNA', 'Answers.com', 'AOL', 'Apple Music', 'Ask.com', 'AutoTrader.com', 'Bing', 'Blue Apron']",,
184,"['Bumble', 'careerbuilder', 'Carmax.com', 'Cars.com', 'Caviar', 'Craigslist', 'Delivery.com', 'Doordash']",,
185,"['DraftKings', 'Dropbox', 'eBay', 'eHarmony', 'Eventbrite', 'Evernote', 'Facebook', 'FanDuel']",,
186,"['Flickr', 'Glassdoor', 'GoDaddy', 'GoodRx', 'Google', 'Google Chrome', 'Google Docs', 'Google Maps']",,
187,"['Google Photos', 'Google Search', 'Groupon', 'GrubHub.com', 'Hello Fresh', 'Hinge', 'Home Chef', 'Honey']",,
188,"['iHeartRadio', 'imdb.com', 'Indeed', 'Instagram', 'iTunes', 'LinkedIn', 'Live Nation', 'LivingSocial']",,
189,"['Match.com', 'Microsoft OneNote', 'Monster', 'MotorTrend.com', 'OK Cupid', 'Pandora', 'Pinterest', 'Postmates']",,
190,"['Realtor.com', 'Redbox', 'Redfin', 'Seamless.com', 'SeatGeek', 'Shopify', 'SingleCare', 'Snapchat']",,
191,"['Spotify', 'Squarespace', 'StubHub', 'Ticketmaster', 'TikTok', 'Tinder', 'Tumblr', 'Twitch']",,
192,"['Twitter', 'Uber Eats', 'Vistaprint', 'WhatsApp', 'Wikipedia', 'Wix.com', 'Yahoo', 'Yelp']",,
193,"['YouTube', 'YouTube Kids', 'YouTube Music', 'YP.com (Yellow Pages)', 'Zillow', 'ZipRecruiter', 'AAMCO', 'Advance Auto Parts']",,
194,"['Arco', 'Armor All', 'AutoNation', 'AutoZone', 'BFGoodrich', 'BP', 'Bridgestone', 'Caliber Collision']",,
195,"['CarMax', 'Carquest', 'Carvana', 'Castrol', 'Chevron', 'Citgo', 'ConocoPhillips', 'Continental']",,
196,"['Cooper Tires', 'ExxonMobil', 'Firestone', 'GMGoodwrench', 'Goodyear', 'Gulf', 'Jiffy Lube', 'Marathon']",,
197,"['Michelin', 'Midas', 'Mobil 1', 'Napa Auto Parts', ""O'Reilly Auto Parts"", 'Pennzoil', 'Pep Boys', 'Safelite']",,
198,"['Shell', 'Sunoco', 'Valero', 'Valvoline', 'Age Perfect', 'Almay', 'Aquaphor', 'Aveda']",,
199,"['Aveeno', 'Aveeno Baby', 'Avon', 'Baby Magic', 'Babyganics', 'Banana Boat', 'Bath & Body Works', 'Believe Beauty']",,
200,"['Biore', 'Boots No. 7', 'CeraVe', 'Cetaphil', 'Clarins', 'Clean & Clear', 'Clearasil', 'Clinique']",,
201,"['Col-Lab', 'Coppertone', 'Cover Girl', 'Desitin', 'Differin', 'Dove', 'Dove Baby', 'Elizabeth Arden']",,
202,"['Essie', 'Estee Lauder', 'Eucerin', 'Exuviance', 'Flower Beauty', 'Fresh', 'Garnier', 'Glossier']",,
203,"['Gold Bond', 'Hawaiian Tropic', 'Jergens', ""Johnson's Baby"", 'Kiehls', ""L'Occitane"", ""L'Oreal Paris"", 'Lancome']",,
204,"['Le Petit Marseillais', 'Lubriderm', 'Lush', 'MAC', 'Maybelline', 'NeoStrata', 'Neutrogena', 'Nivea']",,
205,"['NYX', 'OGX', 'Olay', 'Origins', 'Oxy', 'Proactiv', 'Revitalift', 'Revlon']",,
206,"['Rimmel London', 'RoC', 'Sally Hansen', 'Sephora', 'Simple', 'Smashbox', 'SoftSoap', 'St. Ives']",,
207,"['StriVectin', 'The Body Shop', 'The Honest Company', 'True Match', 'Ulta Beauty', 'Vaseline', 'Voluminous', 'Athenos Hummus']",,
208,"[""Baked Lay's"", 'Beanitos', 'Bear Naked', 'Bolthouse Dressings', 'Cape Cod', 'Cheese Nips', 'Cheetos', 'Cheez-Itz']",,
209,"['Chex Mix', 'Clif', 'Crunchmaster', 'Daiya Cheese Alternatives', 'DAVID Seeds', 'Doritos', 'Emerald Nuts', 'Fiber One']",,
210,"['Flat Earth', 'Food Should Taste Good', 'Fritos', 'GO Veggie! Cheese Alternatives', ""Herr's"", ""Jack Link's Beef Jerky"", 'Ken’s Dressing', 'Kettle Brand Chips']",,
211,"['KIND', 'Larabar', ""Lay's"", 'Lay’s Kettle Cooked', 'Luna', ""Marie's Dressing"", 'Marzetti Refrigerated Dressings', 'Nature Valley']",,
212,"['Orville Redenbacher', ""Pirate's Booty"", 'Pringles', 'Quest Nutrition', 'Ritz', 'Rold Gold', 'Ruffles', 'Sabra Hummus']",,
213,"['Smartfood', ""Snyder's"", ""Stacy's"", 'Sunchips', 'Tessamae', 'Think Thin', 'Tostitos', 'Tribe Hummus']",,
214,"['Triscuit', 'Utz', 'Wheat Thins', 'Wise', 'Ace Hardware', 'American Signature Furniture', 'Art Van Furniture', 'Ashley']",,
215,"['Bath and Body Works', 'Bed Bath and Beyond', 'Benjamin Moore', ""Bob's Discount Furniture"", 'Brookstone', 'Casper', 'Crate & Barrel', 'Delta Faucet']",,
216,"[""Haverty's Furniture"", 'Home Depot', 'Home Goods', 'IKEA', 'Jordan’s Furniture', 'Kohler', 'La-Z-Boy', 'Leesa']",,
217,"[""Lowe's"", 'Mattress Firm', 'Menards', 'Moen', 'Pier 1 Imports', 'Pottery Barn', 'Purple', 'Raymour & Flanigan']",,
218,"['Restoration Hardware', 'Rooms to Go', 'Rugs USA', 'Saatva', 'Sealy', 'Serta', 'Serta iComfort', 'Shaw Floors']",,
219,"['Simmons Beautyrest', 'Sleep Number', 'Sleepys', 'Tempur-Pedic', 'True Value', 'Tuft and Needle', 'Value City Furniture', 'Wayfair']",,
220,"['White Barn Candle', 'Williams-Sonoma', 'Yankee Candle', 'Academy', 'Bass Pro Shops', 'Beachbody', 'Best Buy', 'Big 5 Sporting Goods']",,
221,"['Blink Fitness', 'Bowflex', ""Cabela's"", 'Champs', ""Conn's"", 'Crunch Gym', ""Dick's"", 'F.Y.E']",,
222,"['Flywheel Sports', ""Fred's"", 'GameStop', 'GNC', 'Hibbett Sports', 'Jenny Craig', 'LA Fitness', ""Modell's""]",,
223,"['MyFitnessPal', 'Nautilus', 'Noom', 'Nordic Track', 'Nutrisystem', 'Orange Theory', 'P.C. Richard & Son', 'Peloton']",,
224,"['Planet Fitness', 'REI', 'Schwinn', 'SoulCycle', 'The Vitamin Shoppe', 'Weight Watchers', 'abercrombie kids', 'Alexis Bittar']",,
225,"['American Girl', 'American Greetings', ""Athlete's Foot"", 'Bailey Banks & Biddle', 'Barnes & Noble', 'Build-A-Bear Workshop', 'Carter’s', ""Children's Place""]",,
226,"['Disney Store', 'DSW Shoes', 'Famous Footwear', 'Foot Locker', 'Gap Kids', 'Gymboree', 'Hallmark', 'Helzberg Diamonds']",,
